Malay,English,,,,,
hospital,hospital,,,,,
pejabat imigresen,immigration office,,,,,
hasil pendapatan,income tax,,,,,
kaunter informasi,information counter,,,,,
kedai barang kemas,jeweller,,,,,
karaoke,karaoke,,,,,
KLCC,KLCC,,,,,
kedai dobi,laundry ,,,,,
pejabat peguam,lawyer’s office,,,,,
perpustakaan,library,,,,,
pasaar Little India,Little India,,,,,
pejkabat bahagian pemasaran,marketing department office,,,,,
kementerian,ministry,,,,, 
masjid,mosque,,,,,
gunung,mountain,,,,,
pejabat ,office,,,,,
taman,park,,,,,
pastri/bakeri,pastry,,,,,
kaunter bayaran,payment counter ,,,,,
farmasi,pharmacy,,,,,
balai polis,police station,,,,,
pejabat pos,post office ,,,,,
perdana menteri,prime minister,,,,,
kaunter sambut,reception,,,,,
restoran,restaurant,,,,,
sekolah,school,,,,,
laut,sea,,,,,
pantai,beach,,,,,
tepi laut,seaside ,,,,,
kedai kasut,shoe shop,,,,,
pusat membeli belah,shopping centre,,,,,
kedai sukan,sport shop,,,,,
stadium,stadium,,,,,
pasaraya,supermarket,,,,,
kolam renang,swimming pool,,,,,
tokong,temple,,,,,
teater,theater,,,,,
stesen keretapi,train station,,,,,
agensi pelancongan,travel agency,,,,,
universiti,university,,,,,
doktor haiwan,vet,,,,,
pejabat bahagian visa,visa department office,,,,,
barat,water park,,,,,
pasar basah,wet market,,,,,
bengkel,workshop,,,,,
zoo,zoo,,,,,
